"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"103","i",3,1,"Esperanto",0.00177935943060498,11,4
"104","sole",3,4,"Esperanto",0.00177935943060498,7,4
"105","Ŝtato",3,5,"Esperanto",0.00177935943060498,3,4
"106","partopreni",3,10,"Esperanto",0.00177935943060498,5,4
"107","kiun",3,4,"Esperanto",0.00177935943060498,5,4
"108","Homaj",2,5,"Esperanto",0.00118623962040332,7,4
"109","Rajtoj",2,6,"Esperanto",0.00118623962040332,4,4
"110","proklamita",2,10,"Esperanto",0.00118623962040332,8,4
"111","Ĝenerala",2,8,"Esperanto",0.00118623962040332,9,4
"112","Asembleo",2,8,"Esperanto",0.00118623962040332,11,4
"113","paco",2,4,"Esperanto",0.00118623962040332,4,4
"114","mondo",2,5,"Esperanto",0.00118623962040332,13,4
"115","tia",2,3,"Esperanto",0.00118623962040332,8,4
"116","alta",2,4,"Esperanto",0.00118623962040332,9,4
"117","necesas",2,7,"Esperanto",0.00118623962040332,7,4
"118","aj",2,2,"Esperanto",0.00118623962040332,8,4
"119","viroj",2,5,"Esperanto",0.00118623962040332,12,4
"120","virinoj",2,7,"Esperanto",0.00118623962040332,8,4
"121","socian",2,6,"Esperanto",0.00118623962040332,5,4
"122","progreson",2,9,"Esperanto",0.00118623962040332,5,4
"123","vivon",2,5,"Esperanto",0.00118623962040332,6,4
"124","universala",2,10,"Esperanto",0.00118623962040332,8,4
"125","respekto",2,8,"Esperanto",0.00118623962040332,8,4
"126","observado",2,9,"Esperanto",0.00118623962040332,5,4
"127","pri",2,3,"Esperanto",0.00118623962040332,5,4
"128","instruado",2,9,"Esperanto",0.00118623962040332,11,4
"129","certigu",2,7,"Esperanto",0.00118623962040332,7,4
"130","same",2,4,"Esperanto",0.00118623962040332,3,4
"131","tiel",2,4,"Esperanto",0.00118623962040332,5,4
"132","liberaj",2,7,"Esperanto",0.00118623962040332,9,4
"133","ili",2,3,"Esperanto",0.00118623962040332,7,4
"134","diferencigo",2,11,"Esperanto",0.00118623962040332,8,4
"135","raso",2,4,"Esperanto",0.00118623962040332,11,4
"136","politika",2,8,"Esperanto",0.00118623962040332,5,4
"137","opinio",2,6,"Esperanto",0.00118623962040332,4,4
"138","nacia",2,5,"Esperanto",0.00118623962040332,3,4
"139","naski",2,5,"Esperanto",0.00118623962040332,11,4
"140","senkonsidere",2,12,"Esperanto",0.00118623962040332,10,4
"141","sendependa",2,10,"Esperanto",0.00118623962040332,5,4
"142","limigo",2,6,"Esperanto",0.00118623962040332,5,4
"143","rajtojn",2,7,"Esperanto",0.00118623962040332,4,4
"144","sklaveco",2,8,"Esperanto",0.00118623962040332,8,4
"145","esti",2,4,"Esperanto",0.00118623962040332,14,4
"146","ŭas",2,3,"Esperanto",0.00118623962040332,3,4
"147","agoj",2,4,"Esperanto",0.00118623962040332,4,4
"148","kiujn",2,5,"Esperanto",0.00118623962040332,10,4
"149","arbitrajn",2,9,"Esperanto",0.00118623962040332,8,4
"150","proceso",2,7,"Esperanto",0.00118623962040332,9,4
"151","punebla",2,7,"Esperanto",0.00118623962040332,4,4
"152","faro",2,4,"Esperanto",0.00118623962040332,4,4
"153","oni",2,3,"Esperanto",0.00118623962040332,9,4
"154","ĝis",2,3,"Esperanto",0.00118623962040332,4,4
"155","tempo",2,5,"Esperanto",0.00118623962040332,13,4
"156","kiam",2,4,"Esperanto",0.00118623962040332,7,4
"157","familion",2,8,"Esperanto",0.00118623962040332,7,4
"158","nek",2,3,"Esperanto",0.00118623962040332,7,4
"159","intervenoj",2,10,"Esperanto",0.00118623962040332,4,4
"160","lo",2,2,"Esperanto",0.00118623962040332,5,4
"161","peti",2,4,"Esperanto",0.00118623962040332,7,4
"162","celoj",2,5,"Esperanto",0.00118623962040332,8,4
"163","principoj",2,9,"Esperanto",0.00118623962040332,2,4
"164","havi",2,4,"Esperanto",0.00118623962040332,8,4
"165","ŝtatanecon",2,10,"Esperanto",0.00118623962040332,9,4
"166","arbitre",2,7,"Esperanto",0.00118623962040332,6,4
"167","forprenita",2,10,"Esperanto",0.00118623962040332,9,4
"168","ŝanĝ",2,4,"Esperanto",0.00118623962040332,10,4
"169","ia",2,2,"Esperanto",0.00118623962040332,3,4
"170","koncerne",2,8,"Esperanto",0.00118623962040332,3,5
"171","geedzeco",2,8,"Esperanto",0.00118623962040332,7,5
"172","okazu",2,5,"Esperanto",0.00118623962040332,8,5
"173","fundamenta",2,10,"Esperanto",0.00118623962040332,3,5
"174","sola",2,4,"Esperanto",0.00118623962040332,10,5
"175","inkluzivas",2,10,"Esperanto",0.00118623962040332,3,5
"176","religion",2,8,"Esperanto",0.00118623962040332,7,5
"177","si",2,2,"Esperanto",0.00118623962040332,5,5
"178","volo",2,4,"Esperanto",0.00118623962040332,6,5
"179","povas",2,5,"Esperanto",0.00118623962040332,6,5
"180","k",2,1,"Esperanto",0.00118623962040332,6,5
"181","organizo",2,8,"Esperanto",0.00118623962040332,7,5
"182","rimedoj",2,7,"Esperanto",0.00118623962040332,7,5
"183","sociaj",2,6,"Esperanto",0.00118623962040332,7,5
"184","laboro",2,6,"Esperanto",0.00118623962040332,8,5
"185","justaj",2,6,"Esperanto",0.00118623962040332,7,5
"186","senlaboreco",2,11,"Esperanto",0.00118623962040332,8,5
"187","interesoj",2,9,"Esperanto",0.00118623962040332,8,5
"188","inkluzive",2,9,"Esperanto",0.00118623962040332,4,5
"189","bonfarto",2,8,"Esperanto",0.00118623962040332,8,5
"190","okazo",2,5,"Esperanto",0.00118623962040332,8,5
"191","ekster",2,6,"Esperanto",0.00118623962040332,5,5
"192","infanoj",2,7,"Esperanto",0.00118623962040332,6,5
