"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"106","tu",3,2,"Swahili",0.00168539325842697,5,4
"107","hiari",3,5,"Swahili",0.00168539325842697,7,4
"108","pamoja",3,6,"Swahili",0.00168539325842697,7,4
"109","Serikali",3,8,"Swahili",0.00168539325842697,5,4
"110","wengine",3,7,"Swahili",0.00168539325842697,2,4
"111","pia",3,3,"Swahili",0.00168539325842697,9,4
"112","maoni",3,5,"Swahili",0.00168539325842697,5,4
"113","chama",3,5,"Swahili",0.00168539325842697,2,4
"114","yeye",3,4,"Swahili",0.00168539325842697,10,4
"115","ambazo",3,6,"Swahili",0.00168539325842697,6,4
"116","kutunzwa",3,8,"Swahili",0.00168539325842697,7,4
"117","maendeleo",3,9,"Swahili",0.00168539325842697,7,4
"118","kufanya",3,7,"Swahili",0.00168539325842697,4,4
"119","kuchagua",3,8,"Swahili",0.00168539325842697,3,4
"120","mshahara",3,8,"Swahili",0.00168539325842697,1,4
"121","elimu",3,5,"Swahili",0.00168539325842697,8,4
"122","Katika",2,6,"Swahili",0.00112359550561798,5,4
"123","Baraza",2,6,"Swahili",0.00112359550561798,8,4
"124","kuu",2,3,"Swahili",0.00112359550561798,3,4
"125","kutangaza",2,9,"Swahili",0.00112359550561798,7,4
"126","Haki",2,4,"Swahili",0.00112359550561798,5,4
"127","taarifa",2,7,"Swahili",0.00112359550561798,6,4
"128","maana",2,5,"Swahili",0.00112359550561798,2,4
"129","i",2,1,"Swahili",0.00112359550561798,9,4
"130","zote",2,4,"Swahili",0.00112359550561798,3,4
"131","kujali",2,6,"Swahili",0.00112359550561798,4,4
"132","TAARIFA",2,7,"Swahili",0.00112359550561798,9,4
"133","ulimwengu",2,9,"Swahili",0.00112359550561798,9,4
"134","JUU",2,3,"Swahili",0.00112359550561798,13,4
"135","HAKI",2,4,"Swahili",0.00112359550561798,10,4
"136","ZA",2,2,"Swahili",0.00112359550561798,4,4
"137","BINADAMU",2,8,"Swahili",0.00112359550561798,1,4
"138","vitendo",2,7,"Swahili",0.00112359550561798,8,4
"139","dhamiri",2,7,"Swahili",0.00112359550561798,3,4
"140","ambayo",2,6,"Swahili",0.00112359550561798,10,4
"141","msaada",2,6,"Swahili",0.00112359550561798,5,4
"142","imani",2,5,"Swahili",0.00112359550561798,6,4
"143","sababu",2,6,"Swahili",0.00112359550561798,3,4
"144","starehe",2,7,"Swahili",0.00112359550561798,10,4
"145","zaidi",2,5,"Swahili",0.00112359550561798,7,4
"146","Nchi",2,4,"Swahili",0.00112359550561798,4,4
"147","kushirikiana",2,12,"Swahili",0.00112359550561798,8,4
"148","hizi",2,4,"Swahili",0.00112359550561798,8,4
"149","huu",2,3,"Swahili",0.00112359550561798,7,4
"150","juhudi",2,6,"Swahili",0.00112359550561798,6,4
"151","kushikilia",2,10,"Swahili",0.00112359550561798,9,4
"152","kufundisha",2,10,"Swahili",0.00112359550561798,6,4
"153","hizo",2,4,"Swahili",0.00112359550561798,9,4
"154","huo",2,3,"Swahili",0.00112359550561798,8,4
"155","miongoni",2,8,"Swahili",0.00112359550561798,7,4
"156","mwa",2,3,"Swahili",0.00112359550561798,5,4
"157","Watu",2,4,"Swahili",0.00112359550561798,12,5
"158","wamezaliwa",2,10,"Swahili",0.00112359550561798,9,5
"159","Wote",2,4,"Swahili",0.00112359550561798,3,5
"160","yapasa",2,6,"Swahili",0.00112359550561798,9,5
"161","anastahili",2,10,"Swahili",0.00112359550561798,6,5
"162","wo",2,2,"Swahili",0.00112359550561798,7,5
"163","utawala",2,7,"Swahili",0.00112359550561798,2,5
"164","kutegemea",2,9,"Swahili",0.00112359550561798,8,5
"165","nafsi",2,5,"Swahili",0.00112359550561798,9,5
"166","Mbele",2,5,"Swahili",0.00112359550561798,9,5
"167","wanastahili",2,11,"Swahili",0.00112359550561798,6,5
"168","kuvunja",2,7,"Swahili",0.00112359550561798,2,5
"169","hukumu",2,6,"Swahili",0.00112359550561798,8,5
"170","mujibu",2,6,"Swahili",0.00112359550561798,8,5
"171","kutoka",2,6,"Swahili",0.00112359550561798,10,5
"172","kuhukumiwa",2,10,"Swahili",0.00112359550561798,7,5
"173","vyema",2,5,"Swahili",0.00112359550561798,5,5
"174","kosa",2,4,"Swahili",0.00112359550561798,6,5
"175","Wala",2,4,"Swahili",0.00112359550561798,7,5
"176","ile",2,3,"Swahili",0.00112359550561798,4,5
"177","sifa",2,4,"Swahili",0.00112359550561798,4,5
"178","udhalimu",2,8,"Swahili",0.00112359550561798,4,5
"179","maazimio",2,8,"Swahili",0.00112359550561798,6,5
"180","utaifa",2,6,"Swahili",0.00112359550561798,6,5
"181","kuoana",2,6,"Swahili",0.00112359550561798,5,5
"182","kuunda",2,6,"Swahili",0.00112359550561798,7,5
"183","binafsi",2,7,"Swahili",0.00112359550561798,3,5
"184","inahusu",2,7,"Swahili",0.00112359550561798,3,5
"185","kutoa",2,5,"Swahili",0.00112359550561798,11,5
"186","muda",2,4,"Swahili",0.00112359550561798,7,5
"187","kura",2,4,"Swahili",0.00112359550561798,6,5
"188","siri",2,4,"Swahili",0.00112359550561798,9,5
"189","zinazotokana",2,12,"Swahili",0.00112359550561798,4,5
"190","kulinda",2,7,"Swahili",0.00112359550561798,9,5
"191","watoto",2,6,"Swahili",0.00112359550561798,7,5
"192","itolewe",2,7,"Swahili",0.00112359550561798,5,5
"193","ustadi",2,6,"Swahili",0.00112359550561798,11,5
"194","wazi",2,4,"Swahili",0.00112359550561798,7,5
"195","barabara",2,8,"Swahili",0.00112359550561798,8,5
"196","mbali",2,5,"Swahili",0.00112359550561798,7,5
"197","Ni",2,2,"Swahili",0.00112359550561798,11,5
"198","sayansi",2,7,"Swahili",0.00112359550561798,5,5
"199","zilizoelezwa",2,12,"Swahili",0.00112359550561798,11,5
"200","Disemba",1,7,"Swahili",0.000561797752808989,4,5
"201","lilikubali",1,10,"Swahili",0.000561797752808989,9,5
"202","Ulimwengu",1,9,"Swahili",0.000561797752808989,10,5
"203","Binadamu",1,8,"Swahili",0.000561797752808989,2,5
"204","Maelezo",1,7,"Swahili",0.000561797752808989,6,5
"205","yamepigwa",1,9,"Swahili",0.000561797752808989,7,5
"206","chapa",1,5,"Swahili",0.000561797752808989,5,5
"207","kurasa",1,6,"Swahili",0.000561797752808989,4,5
"208","zifuatazo",1,9,"Swahili",0.000561797752808989,5,5
"209","Baada",1,5,"Swahili",0.000561797752808989,11,5
"210","Kuu",1,3,"Swahili",0.000561797752808989,3,5
"211","lilizisih",1,9,"Swahili",0.000561797752808989,7,5
"212","zitangaze",1,9,"Swahili",0.000561797752808989,10,5
"213","zifanye",1,7,"Swahili",0.000561797752808989,4,5
"214","ienezwe",1,7,"Swahili",0.000561797752808989,4,5
"215","ionyeshwe",1,9,"Swahili",0.000561797752808989,7,5
"216","isomwe",1,6,"Swahili",0.000561797752808989,4,5
