"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Indo-European","sumieniem",2,9,"Polish",0.001318391562294,8,4
"Indo-European","ludzkości",2,9,"Polish",0.001318391562294,5,5
"Indo-European","uroczyście",2,10,"Polish",0.001318391562294,11,5
"Indo-European","cel",2,3,"Polish",0.001318391562294,7,5
"Indo-European","takiego",2,7,"Polish",0.001318391562294,12,5
"Indo-European","popiera",2,7,"Polish",0.001318391562294,6,5
"Indo-European","rozwoju",2,7,"Polish",0.001318391562294,13,5
"Indo-European","między",2,6,"Polish",0.001318391562294,5,5
"Indo-European","narodami",2,8,"Polish",0.001318391562294,11,5
"Indo-European","warunków",2,8,"Polish",0.001318391562294,12,5
"Indo-European","we",2,2,"Polish",0.001318391562294,10,5
"Indo-European","powszechne",2,10,"Polish",0.001318391562294,4,5
"Indo-European","przestrzeganie",2,14,"Polish",0.001318391562294,5,5
"Indo-European","tych",2,4,"Polish",0.001318391562294,12,5
"Indo-European","niniejszą",2,9,"Polish",0.001318391562294,1,5
"Indo-European","deklarację",2,10,"Polish",0.001318391562294,5,5
"Indo-European","środków",2,7,"Polish",0.001318391562294,8,5
"Indo-European","wśród",2,5,"Polish",0.001318391562294,8,5
"Indo-European","władzy",2,6,"Polish",0.001318391562294,3,5
"Indo-European","równi",2,5,"Polish",0.001318391562294,6,5
"Indo-European","oni",2,3,"Polish",0.001318391562294,10,5
"Indo-European","rasy",2,4,"Polish",0.001318391562294,6,5
"Indo-European","poglądów",2,8,"Polish",0.001318391562294,9,5
"Indo-European","narodowości",2,11,"Polish",0.001318391562294,5,5
"Indo-European","u",2,1,"Polish",0.001318391562294,15,5
"Indo-European","jakiegokolwiek",2,14,"Polish",0.001318391562294,10,5
"Indo-European","czynić",2,6,"Polish",0.001318391562294,5,5
"Indo-European","różnicy",2,7,"Polish",0.001318391562294,8,5
"Indo-European","zależności",2,10,"Polish",0.001318391562294,3,5
"Indo-European","którego",2,7,"Polish",0.001318391562294,3,5
"Indo-European","czy",2,3,"Polish",0.001318391562294,7,5
"Indo-European","kraj",2,4,"Polish",0.001318391562294,5,5
"Indo-European","ni",2,2,"Polish",0.001318391562294,1,5
"Indo-European","też",2,3,"Polish",0.001318391562294,5,5
"Indo-European","podlega",2,7,"Polish",0.001318391562294,8,5
"Indo-European","jakikolwiek",2,11,"Polish",0.001318391562294,8,5
"Indo-European","jakiejkolwiek",2,13,"Polish",0.001318391562294,12,5
"Indo-European","pogwałcenie",2,11,"Polish",0.001318391562294,11,5
"Indo-European","podstawowych",2,12,"Polish",0.001318391562294,5,5
"Indo-European","równości",2,8,"Polish",0.001318391562294,4,5
"Indo-European","popełnienie",2,11,"Polish",0.001318391562294,9,5
"Indo-European","publicznie",2,10,"Polish",0.001318391562294,12,5
"Indo-European","niezależny",2,10,"Polish",0.001318391562294,11,5
"Indo-European","zgodnie",2,7,"Polish",0.001318391562294,8,5
"Indo-European","podczas",2,7,"Polish",0.001318391562294,8,5
"Indo-European","publicznego",2,11,"Polish",0.001318391562294,7,5
"Indo-European","może",2,4,"Polish",0.001318391562294,10,5
"Indo-European","powodu",2,6,"Polish",0.001318391562294,5,5
"Indo-European","chwili",2,6,"Polish",0.001318391562294,9,5
"Indo-European","międzynarodowego",2,16,"Polish",0.001318391562294,5,5
"Indo-European","ta",2,2,"Polish",0.001318391562294,9,5
"Indo-European","popełnienia",2,11,"Polish",0.001318391562294,14,5
"Indo-European","wyboru",2,6,"Polish",0.001318391562294,8,5
"Indo-European","każdego",2,7,"Polish",0.001318391562294,5,5
"Indo-European","swego",2,5,"Polish",0.001318391562294,13,5
"Indo-European","niego",2,5,"Polish",0.001318391562294,6,5
"Indo-European","razie",2,5,"Polish",0.001318391562294,12,5
"Indo-European","przypadku",2,9,"Polish",0.001318391562294,5,5
"Indo-European","celami",2,6,"Polish",0.001318391562294,6,5
"Indo-European","zasadami",2,8,"Polish",0.001318391562294,8,5
"Indo-European","pozbawiać",2,9,"Polish",0.001318391562294,5,5
"Indo-European","zmiany",2,6,"Polish",0.001318391562294,12,5
"Indo-European","małżeństwa",2,10,"Polish",0.001318391562294,7,5
"Indo-European","rodziny",2,7,"Polish",0.001318391562294,7,5
"Indo-European","jedynie",2,7,"Polish",0.001318391562294,12,6
"Indo-European","swobodnie",2,9,"Polish",0.001318391562294,10,6
"Indo-European","wespół",2,6,"Polish",0.001318391562294,13,6
"Indo-European","własności",2,9,"Polish",0.001318391562294,7,6
"Indo-European","obejmuje",2,8,"Polish",0.001318391562294,11,6
"Indo-European","wiary",2,5,"Polish",0.001318391562294,12,6
"Indo-European","bądź",2,4,"Polish",0.001318391562294,8,6
"Indo-European","opinii",2,6,"Polish",0.001318391562294,14,6
"Indo-European","środkami",2,8,"Polish",0.001318391562294,7,6
"Indo-European","swym",2,4,"Polish",0.001318391562294,7,6
"Indo-European","wola",2,4,"Polish",0.001318391562294,10,6
"Indo-European","zasadzie",2,8,"Polish",0.001318391562294,11,6
"Indo-European","zapewniającej",2,13,"Polish",0.001318391562294,10,6
"Indo-European","społecznych",2,11,"Polish",0.001318391562294,6,6
"Indo-European","odpowiedniego",2,13,"Polish",0.001318391562294,11,6
"Indo-European","pomocy",2,6,"Polish",0.001318391562294,7,6
"Indo-European","społecznej",2,10,"Polish",0.001318391562294,6,6
"Indo-European","zawodowych",2,10,"Polish",0.001318391562294,7,6
"Indo-European","nauki",2,5,"Polish",0.001318391562294,11,6
"Indo-European","nauka",2,5,"Polish",0.001318391562294,6,6
"Indo-European","a",2,1,"Polish",0.001318391562294,10,6
"Indo-European","pełny",2,5,"Polish",0.001318391562294,9,6
"Indo-European","rozwój",2,6,"Polish",0.001318391562294,11,6
"Indo-European","korzystania",2,11,"Polish",0.001318391562294,11,6
"Indo-European","działalności",2,12,"Polish",0.001318391562294,6,6
"Indo-European","porządku",2,8,"Polish",0.001318391562294,6,6
"Indo-European","celu",2,4,"Polish",0.001318391562294,11,6
"Indo-European","powszechna",1,10,"Polish",0.000659195781147001,16,6
"Indo-European","deklaracja",1,10,"Polish",0.000659195781147001,5,6
"Indo-European","preamble",1,8,"Polish",0.000659195781147001,9,6
"Indo-European","przyrodzonej",1,12,"Polish",0.000659195781147001,13,6
"Indo-European","równych",1,7,"Polish",0.000659195781147001,12,6
"Indo-European","niezbywalnych",1,13,"Polish",0.000659195781147001,8,6
"Indo-European","członków",1,8,"Polish",0.000659195781147001,13,6
"Indo-European","wspólnoty",1,9,"Polish",0.000659195781147001,11,6
"Indo-European","sprawiedliwości",1,15,"Polish",0.000659195781147001,4,6
"Indo-European","nieposzanowanie",1,15,"Polish",0.000659195781147001,8,6
"Indo-European","nieprzestrzeganie",1,17,"Polish",0.000659195781147001,7,6
"Indo-European","doprowadziło",1,12,"Polish",0.000659195781147001,3,6
"Indo-European","barbarzyństwa",1,13,"Polish",0.000659195781147001,11,6
"Indo-European","wstrząsnęły",1,11,"Polish",0.000659195781147001,7,6
"Indo-European","ogłoszono",1,9,"Polish",0.000659195781147001,3,6
"Indo-European","najwznioślejszy",1,15,"Polish",0.000659195781147001,3,6
"Indo-European","dążenie",1,7,"Polish",0.000659195781147001,13,6
"Indo-European","zbudowania",1,10,"Polish",0.000659195781147001,4,6
"Indo-European","będą",1,4,"Polish",0.000659195781147001,6,6
"Indo-European","słowa",1,5,"Polish",0.000659195781147001,6,6
"Indo-European","przekonań",1,9,"Polish",0.000659195781147001,6,6
"Indo-European","strachu",1,7,"Polish",0.000659195781147001,10,6
"Indo-European","nędzy",1,5,"Polish",0.000659195781147001,8,6
"Indo-European","zawarowanie",1,11,"Polish",0.000659195781147001,10,6
"Indo-European","przepisami",1,10,"Polish",0.000659195781147001,8,6
"Indo-European","musiał",1,6,"Polish",0.000659195781147001,5,6
"Indo-European","doprowadzony",1,12,"Polish",0.000659195781147001,7,6
"Indo-European","ostateczności",1,13,"Polish",0.000659195781147001,13,6
"Indo-European","uciekać",1,7,"Polish",0.000659195781147001,9,6
"Indo-European","buntu",1,5,"Polish",0.000659195781147001,9,6
"Indo-European","tyranii",1,7,"Polish",0.000659195781147001,7,6
"Indo-European","uciskowi",1,8,"Polish",0.000659195781147001,12,6
"Indo-European","przyjaznych",1,11,"Polish",0.000659195781147001,10,6
"Indo-European","stosunków",1,9,"Polish",0.000659195781147001,10,6
"Indo-European","narody",1,6,"Polish",0.000659195781147001,11,6
"Indo-European","zjednoczone",1,11,"Polish",0.000659195781147001,5,6
"Indo-European","przywróciły",1,11,"Polish",0.000659195781147001,10,6
"Indo-European","swą",1,3,"Polish",0.000659195781147001,8,6
"Indo-European","wiarę",1,5,"Polish",0.000659195781147001,14,6
"Indo-European","podstawowe",1,10,"Polish",0.000659195781147001,6,6
"Indo-European","godność",1,7,"Polish",0.000659195781147001,13,6
"Indo-European","wartość",1,7,"Polish",0.000659195781147001,13,6
"Indo-European","jednostki",1,9,"Polish",0.000659195781147001,5,6
"Indo-European","równouprawnienie",1,16,"Polish",0.000659195781147001,12,6
"Indo-European","mężczyzn",1,8,"Polish",0.000659195781147001,9,6
"Indo-European","kobiet",1,6,"Polish",0.000659195781147001,8,6
"Indo-European","wyraziły",1,8,"Polish",0.000659195781147001,1,6
"Indo-European","swe",1,3,"Polish",0.000659195781147001,10,6
"Indo-European","zdecydow",1,8,"Polish",0.000659195781147001,3,6
"Indo-European","anie",1,4,"Polish",0.000659195781147001,11,6
"Indo-European","popierania",1,10,"Polish",0.000659195781147001,10,6
"Indo-European","postępu",1,7,"Polish",0.000659195781147001,5,6
"Indo-European","poprawy",1,7,"Polish",0.000659195781147001,14,6
"Indo-European","większej",1,8,"Polish",0.000659195781147001,12,6
"Indo-European","członkowskie",1,12,"Polish",0.000659195781147001,12,6
"Indo-European","podjęły",1,7,"Polish",0.000659195781147001,6,6
"Indo-European","współpracy",1,10,"Polish",0.000659195781147001,5,6
"Indo-European","Organizacją",1,11,"Polish",0.000659195781147001,4,7
"Indo-European","zapewnić",1,8,"Polish",0.000659195781147001,12,7
"Indo-European","poszanowanie",1,12,"Polish",0.000659195781147001,6,7
"Indo-European","podstawowy",1,10,"Polish",0.000659195781147001,15,7
"Indo-European","ch",1,2,"Polish",0.000659195781147001,3,7
"Indo-European","jednakowe",1,9,"Polish",0.000659195781147001,10,7
"Indo-European","rozumienie",1,10,"Polish",0.000659195781147001,10,7
"Indo-European","olbrzymie",1,9,"Polish",0.000659195781147001,7,7
"Indo-European","znaczenie",1,9,"Polish",0.000659195781147001,5,7
"Indo-European","pełnej",1,6,"Polish",0.000659195781147001,11,7
"Indo-European","realizacji",1,10,"Polish",0.000659195781147001,5,7
"Indo-European","przeto",1,6,"Polish",0.000659195781147001,6,7
"Indo-European","zgromadzenie",1,12,"Polish",0.000659195781147001,10,7
"Indo-European","ogólne",1,6,"Polish",0.000659195781147001,11,7
"Indo-European","ogłasza",1,7,"Polish",0.000659195781147001,10,7
"Indo-European","powszechną",1,10,"Polish",0.000659195781147001,3,7
"Indo-European","wspólny",1,7,"Polish",0.000659195781147001,10,7
"Indo-European","najwyższy",1,9,"Polish",0.000659195781147001,6,7
"Indo-European","ludów",1,5,"Polish",0.000659195781147001,3,7
"Indo-European","organy",1,6,"Polish",0.000659195781147001,11,7
"Indo-European","mając",1,5,"Polish",0.000659195781147001,5,7
"Indo-European","stale",1,5,"Polish",0.000659195781147001,6,7
"Indo-European","pamięci",1,7,"Polish",0.000659195781147001,5,7
"Indo-European","dążyły",1,6,"Polish",0.000659195781147001,4,7
"Indo-European","drodze",1,6,"Polish",0.000659195781147001,11,7
"Indo-European","wychowywania",1,12,"Polish",0.000659195781147001,8,7
"Indo-European","rozwijania",1,10,"Polish",0.000659195781147001,11,7
"Indo-European","zapewniły",1,9,"Polish",0.000659195781147001,6,7
"Indo-European","pomocą",1,6,"Polish",0.000659195781147001,8,7
"Indo-European","postępowych",1,11,"Polish",0.000659195781147001,4,7
"Indo-European","zasięgu",1,7,"Polish",0.000659195781147001,5,7
