"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Indo-European","community",3,9,"English",0.00174216027874564,9,5
"Indo-European","through",3,7,"English",0.00174216027874564,7,5
"Indo-European","personality",3,11,"English",0.00174216027874564,6,5
"Indo-European","work",3,4,"English",0.00174216027874564,7,5
"Indo-European","just",3,4,"English",0.00174216027874564,8,5
"Indo-European","Universal",2,9,"English",0.00116144018583043,10,5
"Indo-European","Human",2,5,"English",0.00116144018583043,6,5
"Indo-European","Rights",2,6,"English",0.00116144018583043,9,5
"Indo-European","peace",2,5,"English",0.00116144018583043,4,5
"Indo-European","world",2,5,"English",0.00116144018583043,8,5
"Indo-European","beings",2,6,"English",0.00116144018583043,3,5
"Indo-European","people",2,6,"English",0.00116144018583043,8,5
"Indo-European","essential",2,9,"English",0.00116144018583043,9,5
"Indo-European","if",2,2,"English",0.00116144018583043,14,5
"Indo-European","compelled",2,9,"English",0.00116144018583043,9,5
"Indo-European","should",2,6,"English",0.00116144018583043,11,5
"Indo-European","men",2,3,"English",0.00116144018583043,7,5
"Indo-European","women",2,5,"English",0.00116144018583043,9,5
"Indo-European","determined",2,10,"English",0.00116144018583043,13,5
"Indo-European","Member",2,6,"English",0.00116144018583043,4,5
"Indo-European","States",2,6,"English",0.00116144018583043,9,5
"Indo-European","themselves",2,10,"English",0.00116144018583043,3,5
"Indo-European","cooperation",2,11,"English",0.00116144018583043,3,5
"Indo-European","understanding",2,13,"English",0.00116144018583043,9,5
"Indo-European","realization",2,11,"English",0.00116144018583043,10,5
"Indo-European","standard",2,8,"English",0.00116144018583043,9,5
"Indo-European","every",2,5,"English",0.00116144018583043,8,5
"Indo-European","teaching",2,8,"English",0.00116144018583043,6,5
"Indo-European","effective",2,9,"English",0.00116144018583043,9,5
"Indo-European","born",2,4,"English",0.00116144018583043,4,5
"Indo-European","they",2,4,"English",0.00116144018583043,4,5
"Indo-European","distinction",2,11,"English",0.00116144018583043,7,5
"Indo-European","kind",2,4,"English",0.00116144018583043,7,5
"Indo-European","race",2,4,"English",0.00116144018583043,6,5
"Indo-European","opinion",2,7,"English",0.00116144018583043,9,5
"Indo-European","status",2,6,"English",0.00116144018583043,2,5
"Indo-European","made",2,4,"English",0.00116144018583043,6,5
"Indo-European","whether",2,7,"English",0.00116144018583043,4,5
"Indo-European","independent",2,11,"English",0.00116144018583043,4,5
"Indo-European","non",2,3,"English",0.00116144018583043,3,5
"Indo-European","slavery",2,7,"English",0.00116144018583043,7,5
"Indo-European","trade",2,5,"English",0.00116144018583043,7,5
"Indo-European","before",2,6,"English",0.00116144018583043,7,5
"Indo-European","him",2,3,"English",0.00116144018583043,11,5
"Indo-European","arbitrary",2,9,"English",0.00116144018583043,6,5
"Indo-European","guilty",2,6,"English",0.00116144018583043,8,5
"Indo-European","he",2,2,"English",0.00116144018583043,4,5
"Indo-European","time",2,4,"English",0.00116144018583043,8,5
"Indo-European","committed",2,9,"English",0.00116144018583043,10,5
"Indo-European","attacks",2,7,"English",0.00116144018583043,3,6
"Indo-European","each",2,4,"English",0.00116144018583043,7,6
"Indo-European","own",2,3,"English",0.00116144018583043,7,6
"Indo-European","seek",2,4,"English",0.00116144018583043,5,6
"Indo-European","case",2,4,"English",0.00116144018583043,7,6
"Indo-European","contrary",2,8,"English",0.00116144018583043,8,6
"Indo-European","purposes",2,8,"English",0.00116144018583043,10,6
"Indo-European","principles",2,10,"English",0.00116144018583043,8,6
"Indo-European","arbitrarily",2,11,"English",0.00116144018583043,6,6
"Indo-European","deprived",2,8,"English",0.00116144018583043,9,6
"Indo-European","change",2,6,"English",0.00116144018583043,7,6
"Indo-European","age",2,3,"English",0.00116144018583043,10,6
"Indo-European","due",2,3,"English",0.00116144018583043,6,6
"Indo-European","its",2,3,"English",0.00116144018583043,7,6
"Indo-European","only",2,4,"English",0.00116144018583043,3,6
"Indo-European","group",2,5,"English",0.00116144018583043,4,6
"Indo-European","well",2,4,"English",0.00116144018583043,3,6
"Indo-European","includes",2,8,"English",0.00116144018583043,7,6
"Indo-European","government",2,10,"English",0.00116144018583043,9,6
"Indo-European","freely",2,6,"English",0.00116144018583043,8,6
"Indo-European","will",2,4,"English",0.00116144018583043,8,6
"Indo-European","periodic",2,8,"English",0.00116144018583043,10,6
"Indo-European","cultural",2,8,"English",0.00116144018583043,4,6
