"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"86","Indo-European","homa",3,4,"Esperanto",0.00177935943060498,10,3
"87","Indo-European","tiun",3,4,"Esperanto",0.00177935943060498,3,3
"88","Indo-European","Deklaracion",3,11,"Esperanto",0.00177935943060498,4,3
"89","Indo-European","naciaj",3,6,"Esperanto",0.00177935943060498,6,3
"90","Indo-European","mem",3,3,"Esperanto",0.00177935943060498,4,3
"91","Indo-European","sub",3,3,"Esperanto",0.00177935943060498,3,3
"92","Indo-European","religio",3,7,"Esperanto",0.00177935943060498,6,3
"93","Indo-European","ĵoj",3,3,"Esperanto",0.00177935943060498,6,3
"94","Indo-European","persono",3,7,"Esperanto",0.00177935943060498,11,3
"95","Indo-European","sekureco",3,8,"Esperanto",0.00177935943060498,9,3
"96","Indo-European","siaj",3,4,"Esperanto",0.00177935943060498,6,3
"97","Indo-European","suferu",3,6,"Esperanto",0.00177935943060498,3,3
"98","Indo-European","jure",3,4,"Esperanto",0.00177935943060498,7,3
"99","Indo-European","necesaj",3,7,"Esperanto",0.00177935943060498,9,3
"100","Indo-European","estis",3,5,"Esperanto",0.00177935943060498,14,4
"101","Indo-European","libere",3,6,"Esperanto",0.00177935943060498,8,4
"102","Indo-European","neniu",3,5,"Esperanto",0.00177935943060498,8,4
"103","Indo-European","i",3,1,"Esperanto",0.00177935943060498,5,4
"104","Indo-European","sole",3,4,"Esperanto",0.00177935943060498,4,4
"105","Indo-European","Ŝtato",3,5,"Esperanto",0.00177935943060498,5,4
"106","Indo-European","partopreni",3,10,"Esperanto",0.00177935943060498,5,4
"107","Indo-European","kiun",3,4,"Esperanto",0.00177935943060498,7,4
"108","Indo-European","Homaj",2,5,"Esperanto",0.00118623962040332,6,4
"109","Indo-European","Rajtoj",2,6,"Esperanto",0.00118623962040332,9,4
"110","Indo-European","proklamita",2,10,"Esperanto",0.00118623962040332,6,4
"111","Indo-European","Ĝenerala",2,8,"Esperanto",0.00118623962040332,5,4
"112","Indo-European","Asembleo",2,8,"Esperanto",0.00118623962040332,3,4
"113","Indo-European","paco",2,4,"Esperanto",0.00118623962040332,7,4
"114","Indo-European","mondo",2,5,"Esperanto",0.00118623962040332,5,4
"115","Indo-European","tia",2,3,"Esperanto",0.00118623962040332,5,4
"116","Indo-European","alta",2,4,"Esperanto",0.00118623962040332,3,4
"117","Indo-European","necesas",2,7,"Esperanto",0.00118623962040332,5,4
"118","Indo-European","aj",2,2,"Esperanto",0.00118623962040332,7,4
"119","Indo-European","viroj",2,5,"Esperanto",0.00118623962040332,5,4
"120","Indo-European","virinoj",2,7,"Esperanto",0.00118623962040332,7,4
"121","Indo-European","socian",2,6,"Esperanto",0.00118623962040332,1,4
"122","Indo-European","progreson",2,9,"Esperanto",0.00118623962040332,6,4
"123","Indo-European","vivon",2,5,"Esperanto",0.00118623962040332,1,4
"124","Indo-European","universala",2,10,"Esperanto",0.00118623962040332,6,4
"125","Indo-European","respekto",2,8,"Esperanto",0.00118623962040332,4,4
"126","Indo-European","observado",2,9,"Esperanto",0.00118623962040332,8,4
"127","Indo-European","pri",2,3,"Esperanto",0.00118623962040332,12,4
"128","Indo-European","instruado",2,9,"Esperanto",0.00118623962040332,2,4
"129","Indo-European","certigu",2,7,"Esperanto",0.00118623962040332,6,4
"130","Indo-European","same",2,4,"Esperanto",0.00118623962040332,9,4
"131","Indo-European","tiel",2,4,"Esperanto",0.00118623962040332,7,4
"132","Indo-European","liberaj",2,7,"Esperanto",0.00118623962040332,11,4
"133","Indo-European","ili",2,3,"Esperanto",0.00118623962040332,7,4
"134","Indo-European","diferencigo",2,11,"Esperanto",0.00118623962040332,4,4
"135","Indo-European","raso",2,4,"Esperanto",0.00118623962040332,6,4
"136","Indo-European","politika",2,8,"Esperanto",0.00118623962040332,3,4
"137","Indo-European","opinio",2,6,"Esperanto",0.00118623962040332,3,4
"138","Indo-European","nacia",2,5,"Esperanto",0.00118623962040332,7,4
"139","Indo-European","naski",2,5,"Esperanto",0.00118623962040332,7,4
"140","Indo-European","senkonsidere",2,12,"Esperanto",0.00118623962040332,5,4
"141","Indo-European","sendependa",2,10,"Esperanto",0.00118623962040332,10,4
"142","Indo-European","limigo",2,6,"Esperanto",0.00118623962040332,11,4
"143","Indo-European","rajtojn",2,7,"Esperanto",0.00118623962040332,12,4
"144","Indo-European","sklaveco",2,8,"Esperanto",0.00118623962040332,6,4
"145","Indo-European","esti",2,4,"Esperanto",0.00118623962040332,9,4
"146","Indo-European","ŭas",2,3,"Esperanto",0.00118623962040332,6,4
"147","Indo-European","agoj",2,4,"Esperanto",0.00118623962040332,10,4
"148","Indo-European","kiujn",2,5,"Esperanto",0.00118623962040332,8,4
"149","Indo-European","arbitrajn",2,9,"Esperanto",0.00118623962040332,4,4
"150","Indo-European","proceso",2,7,"Esperanto",0.00118623962040332,7,4
"151","Indo-European","punebla",2,7,"Esperanto",0.00118623962040332,4,4
"152","Indo-European","faro",2,4,"Esperanto",0.00118623962040332,6,4
"153","Indo-European","oni",2,3,"Esperanto",0.00118623962040332,6,4
"154","Indo-European","ĝis",2,3,"Esperanto",0.00118623962040332,8,4
"155","Indo-European","tempo",2,5,"Esperanto",0.00118623962040332,11,4
"156","Indo-European","kiam",2,4,"Esperanto",0.00118623962040332,2,4
"157","Indo-European","familion",2,8,"Esperanto",0.00118623962040332,5,4
"158","Indo-European","nek",2,3,"Esperanto",0.00118623962040332,7,4
"159","Indo-European","intervenoj",2,10,"Esperanto",0.00118623962040332,7,4
"160","Indo-European","lo",2,2,"Esperanto",0.00118623962040332,10,4
"161","Indo-European","peti",2,4,"Esperanto",0.00118623962040332,5,4
"162","Indo-European","celoj",2,5,"Esperanto",0.00118623962040332,5,4
"163","Indo-European","principoj",2,9,"Esperanto",0.00118623962040332,4,4
"164","Indo-European","havi",2,4,"Esperanto",0.00118623962040332,10,4
"165","Indo-European","ŝtatanecon",2,10,"Esperanto",0.00118623962040332,7,4
"166","Indo-European","arbitre",2,7,"Esperanto",0.00118623962040332,3,4
"167","Indo-European","forprenita",2,10,"Esperanto",0.00118623962040332,4,4
"168","Indo-European","ŝanĝ",2,4,"Esperanto",0.00118623962040332,14,4
"169","Indo-European","ia",2,2,"Esperanto",0.00118623962040332,3,4
"170","Indo-European","koncerne",2,8,"Esperanto",0.00118623962040332,8,5
"171","Indo-European","geedzeco",2,8,"Esperanto",0.00118623962040332,4,5
"172","Indo-European","okazu",2,5,"Esperanto",0.00118623962040332,5,5
"173","Indo-European","fundamenta",2,10,"Esperanto",0.00118623962040332,9,5
"174","Indo-European","sola",2,4,"Esperanto",0.00118623962040332,5,5
"175","Indo-European","inkluzivas",2,10,"Esperanto",0.00118623962040332,10,5
"176","Indo-European","religion",2,8,"Esperanto",0.00118623962040332,6,5
"177","Indo-European","si",2,2,"Esperanto",0.00118623962040332,6,5
"178","Indo-European","volo",2,4,"Esperanto",0.00118623962040332,7,5
"179","Indo-European","povas",2,5,"Esperanto",0.00118623962040332,7,5
"180","Indo-European","k",2,1,"Esperanto",0.00118623962040332,8,5
"181","Indo-European","organizo",2,8,"Esperanto",0.00118623962040332,8,5
"182","Indo-European","rimedoj",2,7,"Esperanto",0.00118623962040332,6,5
"183","Indo-European","sociaj",2,6,"Esperanto",0.00118623962040332,3,5
"184","Indo-European","laboro",2,6,"Esperanto",0.00118623962040332,4,5
"185","Indo-European","justaj",2,6,"Esperanto",0.00118623962040332,7,5
"186","Indo-European","senlaboreco",2,11,"Esperanto",0.00118623962040332,5,5
"187","Indo-European","interesoj",2,9,"Esperanto",0.00118623962040332,9,5
"188","Indo-European","inkluzive",2,9,"Esperanto",0.00118623962040332,7,5
"189","Indo-European","bonfarto",2,8,"Esperanto",0.00118623962040332,7,5
"190","Indo-European","okazo",2,5,"Esperanto",0.00118623962040332,10,5
"191","Indo-European","ekster",2,6,"Esperanto",0.00118623962040332,7,5
"192","Indo-European","infanoj",2,7,"Esperanto",0.00118623962040332,9,5
"193","Indo-European","egale",2,5,"Esperanto",0.00118623962040332,6,5
"194","Indo-European","ricevu",2,6,"Esperanto",0.00118623962040332,9,5
"195","Indo-European","elementa",2,8,"Esperanto",0.00118623962040332,8,5
"196","Indo-European","akirebla",2,8,"Esperanto",0.00118623962040332,6,5
"197","Indo-European","agadon",2,6,"Esperanto",0.00118623962040332,12,5
"198","Indo-European","artikolo",2,8,"Esperanto",0.00118623962040332,7,5
"199","Indo-European","komunumo",2,8,"Esperanto",0.00118623962040332,3,5
"200","Indo-European","ian",2,3,"Esperanto",0.00118623962040332,5,5
"201","Indo-European","Universala",1,10,"Esperanto",0.000593119810201661,3,5
"202","Indo-European","Adoptita",1,8,"Esperanto",0.000593119810201661,10,5
"203","Indo-European","Rezolucio",1,9,"Esperanto",0.000593119810201661,6,5
"204","Indo-European","A",1,1,"Esperanto",0.000593119810201661,6,5
"205","Indo-European","III",1,3,"Esperanto",0.000593119810201661,5,5
"206","Indo-European","decembro",1,8,"Esperanto",0.000593119810201661,8,5
"207","Indo-European","Antaŭkonsideroj",1,15,"Esperanto",0.000593119810201661,5,5
"208","Indo-European","agnosko",1,7,"Esperanto",0.000593119810201661,11,5
"209","Indo-European","esenca",1,6,"Esperanto",0.000593119810201661,3,5
"210","Indo-European","nefordoneblaj",1,13,"Esperanto",0.000593119810201661,5,5
"211","Indo-European","membroj",1,7,"Esperanto",0.000593119810201661,3,5
"212","Indo-European","homara",1,6,"Esperanto",0.000593119810201661,9,5
"213","Indo-European","fundamento",1,10,"Esperanto",0.000593119810201661,4,5
"214","Indo-European","libero",1,6,"Esperanto",0.000593119810201661,11,5
"215","Indo-European","justo",1,5,"Esperanto",0.000593119810201661,7,5
"216","Indo-European","malagnosko",1,10,"Esperanto",0.000593119810201661,6,5
"217","Indo-European","malestimo",1,9,"Esperanto",0.000593119810201661,3,5
"218","Indo-European","rezultigis",1,10,"Esperanto",0.000593119810201661,8,5
"219","Indo-European","barbarajn",1,9,"Esperanto",0.000593119810201661,7,5
"220","Indo-European","agojn",1,5,"Esperanto",0.000593119810201661,7,5
"221","Indo-European","forte",1,5,"Esperanto",0.000593119810201661,11,5
"222","Indo-European","ofendis",1,7,"Esperanto",0.000593119810201661,9,5
"223","Indo-European","konscienc",1,9,"Esperanto",0.000593119810201661,7,5
"224","Indo-European","on",1,2,"Esperanto",0.000593119810201661,6,5
"225","Indo-European","homaro",1,6,"Esperanto",0.000593119810201661,4,5
"226","Indo-European","efektivi",1,8,"Esperanto",0.000593119810201661,6,5
"227","Indo-European","ĝuos",1,4,"Esperanto",0.000593119810201661,5,5
"228","Indo-European","parolo",1,6,"Esperanto",0.000593119810201661,6,5
"229","Indo-European","kredo",1,5,"Esperanto",0.000593119810201661,6,5
"230","Indo-European","liberi",1,6,"Esperanto",0.000593119810201661,10,5
"231","Indo-European","timo",1,4,"Esperanto",0.000593119810201661,6,5
