"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"90","Indo-European","esclavitud",2,10,"Catalan",0.00284495021337127,8,5
"91","Indo-European","igual",2,5,"Catalan",0.00284495021337127,6,5
"92","Indo-European","protecció",2,9,"Catalan",0.00284495021337127,8,5
"93","Indo-European","discriminació",2,13,"Catalan",0.00284495021337127,8,5
"94","Indo-European","seus",2,4,"Catalan",0.00284495021337127,5,5
"95","Indo-European","hom",2,3,"Catalan",0.00284495021337127,11,5
"96","Indo-European","Adoptada",1,8,"Catalan",0.00142247510668563,14,5
"97","Indo-European","proclamada",1,10,"Catalan",0.00142247510668563,8,5
"98","Indo-European","resolució",1,9,"Catalan",0.00142247510668563,3,5
"99","Indo-European","III",1,3,"Catalan",0.00142247510668563,6,6
"100","Indo-European","desembre",1,8,"Catalan",0.00142247510668563,2,6
"101","Indo-European","PREÀMBUL",1,8,"Catalan",0.00142247510668563,4,6
"102","Indo-European","considerant",1,11,"Catalan",0.00142247510668563,1,6
"103","Indo-European","inherent",1,8,"Catalan",0.00142247510668563,5,6
"104","Indo-European","inalienables",1,12,"Catalan",0.00142247510668563,9,6
"105","Indo-European","família",1,7,"Catalan",0.00142247510668563,6,6
"106","Indo-European","fonament",1,8,"Catalan",0.00142247510668563,8,6
"107","Indo-European","pau",1,3,"Catalan",0.00142247510668563,2,6
"108","Indo-European","desconeixement",1,14,"Catalan",0.00142247510668563,6,6
"109","Indo-European","menyspreu",1,9,"Catalan",0.00142247510668563,2,6
"110","Indo-European","originat",1,8,"Catalan",0.00142247510668563,7,6
"111","Indo-European","barbàrie",1,8,"Catalan",0.00142247510668563,5,6
"112","Indo-European","ultratjat",1,9,"Catalan",0.00142247510668563,7,6
"113","Indo-European","humanitat",1,9,"Catalan",0.00142247510668563,13,6
"114","Indo-European","ha",1,2,"Catalan",0.00142247510668563,9,6
"115","Indo-European","proclamat",1,9,"Catalan",0.00142247510668563,10,6
"116","Indo-European","aspiració",1,9,"Catalan",0.00142247510668563,7,6
"117","Indo-European","elevada",1,7,"Catalan",0.00142247510668563,1,6
"118","Indo-European","adveniment",1,10,"Catalan",0.00142247510668563,4,6
"119","Indo-European","on",1,2,"Catalan",0.00142247510668563,2,6
"120","Indo-European","deslliurats",1,11,"Catalan",0.00142247510668563,9,6
"121","Indo-European","temor",1,5,"Catalan",0.00142247510668563,3,6
"122","Indo-European","misèria",1,7,"Catalan",0.00142247510668563,9,6
"123","Indo-European","puguin",1,6,"Catalan",0.00142247510668563,3,6
"124","Indo-European","gaudir",1,6,"Catalan",0.00142247510668563,3,6
"125","Indo-European","expressió",1,9,"Catalan",0.00142247510668563,10,6
"126","Indo-European","creença",1,7,"Catalan",0.00142247510668563,6,6
"127","Indo-European","siguin",1,6,"Catalan",0.00142247510668563,2,6
"128","Indo-European","protegits",1,9,"Catalan",0.00142247510668563,3,6
"129","Indo-European","règim",1,5,"Catalan",0.00142247510668563,8,6
"130","Indo-European","persones",1,8,"Catalan",0.00142247510668563,9,6
"131","Indo-European","vegin",1,5,"Catalan",0.00142247510668563,5,6
"132","Indo-European","forçades",1,8,"Catalan",0.00142247510668563,9,6
"133","Indo-European","últim",1,5,"Catalan",0.00142247510668563,8,6
"134","Indo-European","tirania",1,7,"Catalan",0.00142247510668563,5,6
